x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-4.25000E-09,-633.94147320651E-03,-650.83681582474E-03,-602.35136700794E-03,-656.07510809787E-03
-4.21875E-09,-638.12557351776E-03,-655.02091613599E-03,-604.44341716357E-03,-658.16715825350E-03
-4.18750E-09,-640.21762367338E-03,-659.20501644723E-03,-608.62751747482E-03,-662.35125856475E-03
-4.15625E-09,-642.30967382901E-03,-661.29706660286E-03,-610.71956763044E-03,-666.53535887599E-03
-4.12500E-09,-644.40172398464E-03,-663.38911675848E-03,-612.81161778607E-03,-668.62740903162E-03
-4.09375E-09,-648.58582429588E-03,-665.48116691411E-03,-614.90366794169E-03,-672.81150934287E-03
-4.06250E-09,-650.67787445151E-03,-665.48116691411E-03,-616.99571809732E-03,-674.90355949849E-03
-4.03125E-09,-652.76992460713E-03,-667.57321706974E-03,-619.08776825294E-03,-676.99560965412E-03
-4.00000E-09,-656.95402491838E-03,-671.75731738098E-03,-621.17981840857E-03,-679.08765980974E-03
-3.96875E-09,-659.04607507401E-03,-673.84936753661E-03,-625.36391871982E-03,-683.27176012099E-03
-3.93750E-09,-663.23017538525E-03,-678.03346784786E-03,-627.45596887544E-03,-685.36381027662E-03
-3.90625E-09,-665.32222554088E-03,-682.21756815911E-03,-631.64006918669E-03,-689.54791058787E-03
-3.87500E-09,-671.59837600776E-03,-686.40166847036E-03,-635.82416949794E-03,-693.73201089912E-03
-3.84375E-09,-675.78247631901E-03,-690.58576878161E-03,-637.91621965357E-03,-697.91611121036E-03
-3.81250E-09,-679.96657663026E-03,-694.76986909286E-03,-642.10031996481E-03,-700.00816136599E-03
-3.78125E-09,-684.15067694150E-03,-698.95396940410E-03,-644.19237012044E-03,-704.19226167724E-03
-3.75000E-09,-688.33477725275E-03,-701.04601955973E-03,-646.28442027607E-03,-706.28431183286E-03
-3.71875E-09,-690.42682740838E-03,-705.23011987098E-03,-650.46852058731E-03,-708.37636198849E-03
-3.68750E-09,-692.51887756400E-03,-705.23011987098E-03,-652.56057074294E-03,-710.46841214411E-03
-3.65625E-09,-692.51887756399E-03,-707.32217002660E-03,-652.56057074293E-03,-710.46841214411E-03
-3.62500E-09,-688.33477725274E-03,-705.23011987097E-03,-650.46852058730E-03,-708.37636198847E-03
-3.59375E-09,-679.96657663023E-03,-696.86191924846E-03,-642.10031996479E-03,-700.00816136596E-03
-3.56250E-09,-661.13812522959E-03,-680.12551800344E-03,-623.27186856415E-03,-681.17970996532E-03
-3.53125E-09,-631.84942305083E-03,-648.74476566905E-03,-589.79906607414E-03,-649.79895763094E-03
-3.50000E-09,-587.91636978269E-03,-604.81171240091E-03,-543.77396265038E-03,-607.95795451843E-03
-3.46875E-09,-531.43101558082E-03,-546.23430804341E-03,-485.19655829288E-03,-553.56465047218E-03
