x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-5.59375E-09,+447.64845725149E-03,+493.51461930200E-03,+535.72391765192E-03,+429.69892267138E-03
-5.56250E-09,+447.64845725148E-03,+491.42256914637E-03,+531.53981734067E-03,+427.60687251575E-03
-5.53125E-09,+443.46435694023E-03,+487.23846883512E-03,+527.35571702941E-03,+423.42277220450E-03
-5.50000E-09,+439.28025662898E-03,+483.05436852387E-03,+521.07956656254E-03,+419.23867189324E-03
-5.46875E-09,+433.00410616210E-03,+474.68616790137E-03,+512.71136594004E-03,+410.87047127074E-03
-5.43750E-09,+424.63590553961E-03,+466.31796727887E-03,+504.34316531754E-03,+402.50227064824E-03
-5.40625E-09,+416.26770491710E-03,+455.85771650074E-03,+493.88291453941E-03,+394.13407002574E-03
-5.37500E-09,+403.71540398335E-03,+443.30541556699E-03,+481.33061360566E-03,+381.58176909199E-03
-5.34375E-09,+391.16310304960E-03,+428.66106447761E-03,+466.68626251628E-03,+366.93741800261E-03
-5.31250E-09,+376.51875196022E-03,+411.92466323261E-03,+449.94986127128E-03,+350.20101675761E-03
-5.28125E-09,+357.69030055960E-03,+393.09621183199E-03,+433.21346002628E-03,+333.46461551261E-03
-5.25000E-09,+338.86184915897E-03,+374.26776043136E-03,+414.38500862566E-03,+312.54411395636E-03
-5.21875E-09,+317.94134760272E-03,+351.25520871949E-03,+393.46450706941E-03,+291.62361240011E-03
-5.18750E-09,+297.02084604647E-03,+328.24265700762E-03,+372.54400551316E-03,+270.70311084386E-03
-5.15625E-09,+274.00829433460E-03,+305.23010529574E-03,+347.43940364566E-03,+247.69055913199E-03
-5.12500E-09,+250.99574262273E-03,+280.12550342824E-03,+324.42685193378E-03,+224.67800742012E-03
-5.09375E-09,+225.89114075523E-03,+250.83680124949E-03,+297.23019991066E-03,+199.57340555262E-03
-5.06250E-09,+200.78653888773E-03,+223.64014922637E-03,+270.03354788754E-03,+174.46880368512E-03
-5.03125E-09,+173.58988686461E-03,+194.35144704762E-03,+242.83689586442E-03,+149.36420181762E-03
-5.00000E-09,+144.30118468586E-03,+165.06274486888E-03,+213.54819368567E-03,+122.16754979450E-03
