x-axis,1,2,3,4,MATH1,MATH2
second,Volt,Volt,Volt,Volt,Volt,Volt
-4.34375E-09,-29.12133978680E-03,-4.01673652232E-03,-54.68619411113E-03,-21.00418473128E-03,-33.20312500000E-03,-75.78125000000E-03
-4.32812E-09,-29.91631889017E-03,-3.93305451144E-03,-53.80753299687E-03,-20.41841065511E-03,-33.88671875000E-03,-74.31640625000E-03
-4.31250E-09,-30.66945698811E-03,-3.84937250055E-03,-52.84518987173E-03,-19.83263657894E-03,-34.57031250000E-03,-72.75390625000E-03
-4.29687E-09,-31.42259508604E-03,-3.76569048967E-03,-51.79916473571E-03,-19.20502149733E-03,-35.25390625000E-03,-71.09375000000E-03
-4.28125E-09,-32.13389217854E-03,-3.64016747335E-03,-50.71129859425E-03,-18.57740641572E-03,-35.83984375000E-03,-69.33593750000E-03
-4.26562E-09,-32.80334826559E-03,-3.55648546247E-03,-49.58159144735E-03,-17.90795032866E-03,-36.42578125000E-03,-67.57812500000E-03
-4.25000E-09,-33.38912234176E-03,-3.47280345159E-03,-48.36820228957E-03,-17.23849424161E-03,-36.91406250000E-03,-65.62500000000E-03
-4.23437E-09,-34.01673742337E-03,-3.34728043526E-03,-47.11297212634E-03,-16.56903815456E-03,-37.40234375000E-03,-63.76953125000E-03
-4.21875E-09,-34.56067049410E-03,-3.26359842438E-03,-45.81590095768E-03,-15.85774106206E-03,-37.89062500000E-03,-61.71875000000E-03
-4.20312E-09,-35.06276255939E-03,-3.13807540806E-03,-44.47698878357E-03,-15.14644396957E-03,-38.28125000000E-03,-59.66796875000E-03
-4.18750E-09,-35.56485462468E-03,-3.05439339718E-03,-43.09623560402E-03,-14.39330587163E-03,-38.67187500000E-03,-57.51953125000E-03
-4.17187E-09,-36.02510568453E-03,-2.92887038086E-03,-41.67364141904E-03,-13.64016777370E-03,-38.96484375000E-03,-55.37109375000E-03
-4.15625E-09,-36.44351573894E-03,-2.80334736453E-03,-40.20920622861E-03,-12.88702967577E-03,-39.25781250000E-03,-53.12500000000E-03
-4.14062E-09,-36.82008478791E-03,-2.67782434821E-03,-38.74477103818E-03,-12.13389157783E-03,-39.55078125000E-03,-50.87890625000E-03
-4.12500E-09,-37.15481283143E-03,-2.55230133189E-03,-37.23849484231E-03,-11.33891247446E-03,-39.74609375000E-03,-48.63281250000E-03
-4.10937E-09,-37.48954087496E-03,-2.42677831557E-03,-35.69037764100E-03,-10.54393337108E-03,-39.94140625000E-03,-46.28906250000E-03
-4.09375E-09,-37.78242791304E-03,-2.34309630468E-03,-34.14226043969E-03,-9.79079527315E-03,-40.13671875000E-03,-43.94531250000E-03
-4.07812E-09,-38.07531495113E-03,-2.21757328836E-03,-32.51046122750E-03,-8.99581616977E-03,-40.33203125000E-03,-41.60156250000E-03
-4.06250E-09,-38.32636098377E-03,-2.09205027204E-03,-30.83682100987E-03,-8.20083706640E-03,-40.42968750000E-03,-39.06250000000E-03
-4.04687E-09,-38.53556601098E-03,-1.96652725572E-03,-29.12133978680E-03,-7.40585796302E-03,-40.52734375000E-03,-36.62109375000E-03
-4.03125E-09,-38.70293003274E-03,-1.88284524484E-03,-27.32217655284E-03,-6.61087885965E-03,-40.62500000000E-03,-33.98437500000E-03
